sala,freezer,gaveta,caixa,linhas,colunas,posicao,codigo_amostra,paciente_nome,concentracao_ng_ul,material,exame,observacao
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,D3,A0100100069601,CONTROLE NEO 159,45,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,E1,A0100100050501,Controle extração 07,65.2,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,E2,A0100100062901,CONTROLE NEO 140,5.12,Swab bucal,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,E3,A0100100069901,CONTROLE NEO 160,24,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,F1,,Controle extração 08,,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,F2,A0100100065801,CONTROLE NEO 142,34.8,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,F3,A0100100070001,CONTROLE NEO 161,24,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,G1,A0100100063501,CONTROLE NEO 132,18.3,Swab bucal,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,G2,A0100100065901,CONTROLE NEO 143,49.6,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,G3,A0100100069801,CONTROLE NEO 162,9.2,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,H1,A0100100063101,CONTROLE NEO 133,2.02,Swab bucal,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,H2,A0100100066001,CONTROLE NEO 144,61.6,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,A1,A01001000206,Controle FMR1 01,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,A2,A01001000229,Controle FMR1 11,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,A3,A01001000227,Controle FMR1 21,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,B1,A01001000208,Controle FMR1 02,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,B2,A01001000207,Controle FMR1 12,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,B3,A01001000228,Controle FMR1 22,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,C1,A01001000210,Controle FMR1 03,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,C2,A01001000211,Controle FMR1 13,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,D1,A01001000212,Controle FMR1 04,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,D2,A01001000213,Controle FMR1 14,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,E1,A01001000214,Controle FMR1 05,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,E2,A01001000215,Controle FMR1 15,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,F1,A01001000216,Controle FMR1 06,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,F2,A01001000217,Controle FMR1 16,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,G1,A01001000218,Controle FMR1 07,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,G2,A01001000219,Controle FMR1 17,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,H1,A01001000220,Controle FMR1 08,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,H2,A01001000221,Controle FMR1 18,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,I1,A01001000222,Controle FMR1 09,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,I2,A01001000223,Controle FMR1 19,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,J1,A01001000224,Controle FMR1 10,,DNA,Controles - Caixa,
Pré,-20C (Amostras),Gaveta 1,Controle Caixa 001 (X-Frágil),10,10,J2,A01001000225,Controle FMR1 20,,DNA,Controles - Caixa,
